Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,3.980E-01,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E-01,
Vertical Position,-4.160E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Display Last Dot Address,10000,
Waveform Last Dot Address,0,
SincET Mode,Real Time,
Sampling Period,1.000E-04,
Horizontal Old Scale,1.000E-01,
Horizontal Old Position,0.000E+00,
Firmware,V1.32,
Mode,Detail,
Waveform Data,
-4.833000e-01,6.08e-01,
-4.832000e-01,6.12e-01,
-4.831000e-01,6.16e-01,
-4.830000e-01,6.16e-01,
-4.829000e-01,6.12e-01,
-4.828000e-01,6.12e-01,
-4.827000e-01,6.16e-01,
-4.826000e-01,6.12e-01,
-4.825000e-01,6.16e-01,
-4.824000e-01,6.08e-01,
-4.823000e-01,6.00e-01,
-4.822000e-01,6.00e-01,
-4.821000e-01,6.08e-01,
-4.820000e-01,5.96e-01,
-4.819000e-01,5.96e-01,
-4.818000e-01,5.96e-01,
-4.817000e-01,5.92e-01,
-4.816000e-01,5.96e-01,
-4.815000e-01,5.68e-01,
-4.814000e-01,5.68e-01,
-4.813000e-01,5.64e-01,
-4.812000e-01,5.56e-01,
-4.811000e-01,5.48e-01,
-4.810000e-01,5.32e-01,
-4.809000e-01,5.44e-01,
-4.808000e-01,5.36e-01,
-4.807000e-01,5.32e-01,
-4.806000e-01,5.28e-01,
-4.805000e-01,5.88e-01,
-4.804000e-01,5.88e-01,
-4.803000e-01,6.08e-01,
-4.802000e-01,5.96e-01,
-4.801000e-01,6.36e-01,
-4.800000e-01,6.32e-01,
-4.799000e-01,6.32e-01,
-4.798000e-01,6.36e-01,
-4.797000e-01,6.24e-01,
-4.796000e-01,6.32e-01,
-4.795000e-01,6.36e-01,
-4.794000e-01,6.40e-01,
-4.793000e-01,6.36e-01,
-4.792000e-01,6.40e-01,
-4.791000e-01,6.40e-01,
-4.790000e-01,6.36e-01,
-4.789000e-01,6.32e-01,
-4.788000e-01,6.24e-01,
-4.787000e-01,5.80e-01,
-4.786000e-01,5.80e-01,
-4.785000e-01,5.92e-01,
-4.784000e-01,6.12e-01,
-4.783000e-01,5.72e-01,
-4.782000e-01,5.52e-01,
-4.781000e-01,5.48e-01,
-4.780000e-01,5.68e-01,
-4.779000e-01,5.72e-01,
-4.778000e-01,5.52e-01,
-4.777000e-01,5.80e-01,
-4.776000e-01,5.88e-01,
-4.775000e-01,5.76e-01,
-4.774000e-01,5.96e-01,
-4.773000e-01,5.72e-01,
-4.772000e-01,5.68e-01,
-4.771000e-01,5.72e-01,
-4.770000e-01,5.56e-01,
-4.769000e-01,5.68e-01,
-4.768000e-01,5.72e-01,
-4.767000e-01,5.68e-01,
-4.766000e-01,5.56e-01,
-4.765000e-01,5.52e-01,
-4.764000e-01,5.56e-01,
-4.763000e-01,5.68e-01,
-4.762000e-01,5.52e-01,
-4.761000e-01,5.56e-01,
-4.760000e-01,5.48e-01,
-4.759000e-01,5.64e-01,
-4.758000e-01,5.52e-01,
-4.757000e-01,5.76e-01,
-4.756000e-01,5.44e-01,
-4.755000e-01,5.64e-01,
-4.754000e-01,5.44e-01,
-4.753000e-01,5.64e-01,
-4.752000e-01,5.64e-01,
-4.751000e-01,5.64e-01,
-4.750000e-01,5.56e-01,
-4.749000e-01,5.68e-01,
-4.748000e-01,5.56e-01,
-4.747000e-01,5.64e-01,
-4.746000e-01,5.64e-01,
-4.745000e-01,5.56e-01,
-4.744000e-01,5.72e-01,
-4.743000e-01,5.96e-01,
-4.742000e-01,5.64e-01,
-4.741000e-01,5.72e-01,
-4.740000e-01,5.68e-01,
-4.739000e-01,5.68e-01,
-4.738000e-01,5.56e-01,
-4.737000e-01,5.56e-01,
-4.736000e-01,5.64e-01,
-4.735000e-01,5.52e-01,
-4.734000e-01,5.64e-01,
-4.733000e-01,5.48e-01,
-4.732000e-01,5.48e-01,
-4.731000e-01,5.64e-01,
-4.730000e-01,5.88e-01,
-4.729000e-01,5.88e-01,
-4.728000e-01,5.68e-01,
-4.727000e-01,5.68e-01,
-4.726000e-01,5.88e-01,
-4.725000e-01,5.76e-01,
-4.724000e-01,6.00e-01,
-4.723000e-01,5.88e-01,
-4.722000e-01,6.24e-01,
-4.721000e-01,6.24e-01,
-4.720000e-01,5.76e-01,
