,current(mA),tau0x,Ax,tau0y,Ay
0,62.0,0.03693192636917958,1077.5014749644324,0.039471221418637355,11615.469598455531
1,63.0,0.056023044703720624,873.9762352474605,0.035515988160946414,10114.061448205692
2,63.5,0.0615725998346695,1556.563161161391,0.029623392897251202,7522.267719345876
3,63.5,0.06620026186198434,1141.8153871652225,0.03596094178779635,8978.383761107592
4,63.75,0.049599761759261986,907.1860682741819,0.02958555270061647,9737.186988945417
5,64.0,0.06832698115107949,4712.88684562677,0.03469677895379234,5549.8163633136755
6,64.0,0.04147437365366148,1146.0295541235826,0.025091861299140625,7186.990563613279
7,64.0,0.03693818421265502,818.8589419674421,0.030590066832143815,7379.034391561337
8,64.5,0.08293236786470848,339.60528664442984,0.027811120463511106,9374.709176008177
9,65.0,0.03624804793648941,608.6302454684331,0.028362683215789854,7078.593966041519
10,65.5,0.0340589018926061,590.4409570207623,0.023575603011764493,7419.46815288937
11,66.0,0.02657441423680784,493.1732032739215,0.022233923813405887,6532.251007094903
