filename,current(mA),power(mW)
30,64.48,0.100
31,65.59,0.120
32,66.69,0.140
33,CHECK,CHECK
34,67.80,0.160
35,69.08,0.180
36,70.22,0.200
37,71.34,0.220
38,72.58,0.240
39,73.62,0.260
40,74.86,0.280
41,75.97,0.300
42,77.29,0.320
43,78.66,0.340
44,79.81,0.360
45,81.24,0.380
46,82.30,0.400
47,83.44,0.420
48,84.68,0.440
49,85.94,0.460
50,87.37,0.480
51,88.31,0.500
52,90.65,0.520
53,92.19,0.540
54,93.19,0.560
55,94.82,0.580
56,96.60,0.600
57,98.02,0.620
58,99.58,0.640
59,101.01,0.660
