filename,current(mA),power(mW)
10,64.47,0.100
11,65.60,0.122
12,66.87,0.143
13,67.90,0.160
14,59.06,0.183
15,70.20,0.200
16,71.34,0.221
17,72.48,0.242
18,73.68,0.260
19,75.07,0.283
20,76.22,0.303
21,77.39,0.320
22,78.57,0.343
23,79.95,0.360
24,81.24,0.380
25,82.11,0.400
26,83.56,0.420
27,84.87,0.440
28,86.44,0.460
